2026-07-01T16:51:15.912-03:00 TRACE 20444 --- [estoque] [http-nio-8383-exec-1] o.t.T.cache.EXPRESSION_CACHE             : [THYMELEAF][http-nio-8383-exec-1][EXPRESSION_CACHE][CACHE_HIT] Cache hit in cache "EXPRESSION_CACHE" for key "expr|${param.produto == p}".
2026-07-01T16:51:15.912-03:00 TRACE 20444 --- [estoque] [http-nio-8383-exec-1] o.t.s.expression.VariableExpression      : [THYMELEAF][http-nio-8383-exec-1] Evaluating variable expression: "${param.produto == p}"
2026-07-01T16:51:15.913-03:00 TRACE 20444 --- [estoque] [http-nio-8383-exec-1] o.t.s.e.SPELVariableExpressionEvaluator  : [THYMELEAF][http-nio-8383-exec-1] SpringEL expression: evaluating expression "param.produto == p" on target
2026-07-01T16:51:15.913-03:00 TRACE 20444 --- [estoque] [http-nio-8383-exec-1] o.t.T.cache.EXPRESSION_CACHE             : [THYMELEAF][http-nio-8383-exec-1][EXPRESSION_CACHE][CACHE_HIT] Cache hit in cache "EXPRESSION_CACHE" for key "expr|${p}".
2026-07-01T16:51:15.914-03:00 TRACE 20444 --- [estoque] [http-nio-8383-exec-1] o.t.s.expression.VariableExpression      : [THYMELEAF][http-nio-8383-exec-1] Evaluating variable expression: "${p}"
2026-07-01T16:51:15.914-03:00 TRACE 20444 --- [estoque] [http-nio-8383-exec-1] o.t.s.e.SPELVariableExpressionEvaluator  : [THYMELEAF][http-nio-8383-exec-1] SpringEL expression: evaluating expression "p" on target
2026-07-01T16:51:15.914-03:00 TRACE 20444 --- [estoque] [http-nio-8383-exec-1] o.t.T.cache.EXPRESSION_CACHE             : [THYMELEAF][http-nio-8383-exec-1][EXPRESSION_CACHE][CACHE_HIT] Cache hit in cache "EXPRESSION_CACHE" for key "expr|${p}".
2026-07-01T16:51:15.914-03:00 TRACE 20444 --- [estoque] [http-nio-8383-exec-1] o.t.s.expression.VariableExpression      : [THYMELEAF][http-nio-8383-exec-1] Evaluating variable expression: "${p}"
2026-07-01T16:51:15.914-03:00 TRACE 20444 --- [estoque] [http-nio-8383-exec-1] o.t.s.e.SPELVariableExpressionEvaluator  : [THYMELEAF][http-nio-8383-exec-1] SpringEL expression: evaluating expression "p" on target
2026-07-01T16:51:15.915-03:00 TRACE 20444 --- [estoque] [http-nio-8383-exec-1] o.t.T.cache.EXPRESSION_CACHE             : [THYMELEAF][http-nio-8383-exec-1][EXPRESSION_CACHE][CACHE_HIT] Cache hit in cache "EXPRESSION_CACHE" for key "each|c : ${listaClientes}".
2026-07-01T16:51:15.915-03:00 TRACE 20444 --- [estoque] [http-nio-8383-exec-1] o.t.s.expression.GenericTokenExpression  : [THYMELEAF][http-nio-8383-exec-1] Evaluating generic token: "c"
2026-07-01T16:51:15.916-03:00 TRACE 20444 --- [estoque] [http-nio-8383-exec-1] o.t.s.expression.VariableExpression      : [THYMELEAF][http-nio-8383-exec-1] Evaluating variable expression: "${listaClientes}"
2026-07-01T16:51:15.916-03:00 TRACE 20444 --- [estoque] [http-nio-8383-exec-1] o.t.s.e.SPELVariableExpressionEvaluator  : [THYMELEAF][http-nio-8383-exec-1] SpringEL expression: evaluating expression "listaClientes" on target
2026-07-01T16:51:15.916-03:00 TRACE 20444 --- [estoque] [http-nio-8383-exec-1] o.t.T.cache.EXPRESSION_CACHE             : [THYMELEAF][http-nio-8383-exec-1][EXPRESSION_CACHE][CACHE_HIT] Cache hit in cache "EXPRESSION_CACHE" for key "expr|${param.cliente == c}".
2026-07-01T16:51:15.916-03:00 TRACE 20444 --- [estoque] [http-nio-8383-exec-1] o.t.s.expression.VariableExpression      : [THYMELEAF][http-nio-8383-exec-1] Evaluating variable expression: "${param.cliente == c}"
2026-07-01T16:51:15.916-03:00 TRACE 20444 --- [estoque] [http-nio-8383-exec-1] o.t.s.e.SPELVariableExpressionEvaluator  : [THYMELEAF][http-nio-8383-exec-1] SpringEL expression: evaluating expression "param.cliente == c" on target
2026-07-01T16:51:15.917-03:00 TRACE 20444 --- [estoque] [http-nio-8383-exec-1] o.t.T.cache.EXPRESSION_CACHE             : [THYMELEAF][http-nio-8383-exec-1][EXPRESSION_CACHE][CACHE_HIT] Cache hit in cache "EXPRESSION_CACHE" for key "expr|${c}".
2026-07-01T16:51:15.917-03:00 TRACE 20444 --- [estoque] [http-nio-8383-exec-1] o.t.s.expression.VariableExpression      : [THYMELEAF][http-nio-8383-exec-1] Evaluating variable expression: "${c}"
2026-07-01T16:51:15.918-03:00 TRACE 20444 --- [estoque] [http-nio-8383-exec-1] o.t.s.e.SPELVariableExpressionEvaluator  : [THYMELEAF][http-nio-8383-exec-1] SpringEL expression: evaluating expression "c" on target
2026-07-01T16:51:15.918-03:00 TRACE 20444 --- [estoque] [http-nio-8383-exec-1] o.t.T.cache.EXPRESSION_CACHE             : [THYMELEAF][http-nio-8383-exec-1][EXPRESSION_CACHE][CACHE_HIT] Cache hit in cache "EXPRESSION_CACHE" for key "expr|${c}".
2026-07-01T16:51:15.918-03:00 TRACE 20444 --- [estoque] [http-nio-8383-exec-1] o.t.s.expression.VariableExpression      : [THYMELEAF][http-nio-8383-exec-1] Evaluating variable expression: "${c}"
2026-07-01T16:51:15.919-03:00 TRACE 20444 --- [estoque] [http-nio-8383-exec-1] o.t.s.e.SPELVariableExpressionEvaluator  : [THYMELEAF][http-nio-8383-exec-1] SpringEL expression: evaluating expression "c" on target
2026-07-01T16:51:15.920-03:00 TRACE 20444 --- [estoque] [http-nio-8383-exec-1] o.t.s.expression.VariableExpression      : [THYMELEAF][http-nio-8383-exec-1] Evaluating variable expression: "${param.cliente == c}"
2026-07-01T16:51:15.920-03:00 TRACE 20444 --- [estoque] [http-nio-8383-exec-1] o.t.s.e.SPELVariableExpressionEvaluator  : [THYMELEAF][http-nio-8383-exec-1] SpringEL expression: evaluating expression "param.cliente == c" on target
2026-07-01T16:51:15.920-03:00 TRACE 20444 --- [estoque] [http-nio-8383-exec-1] o.t.s.expression.VariableExpression      : [THYMELEAF][http-nio-8383-exec-1] Evaluating variable expression: "${c}"
2026-07-01T16:51:15.920-03:00 TRACE 20444 --- [estoque] [http-nio-8383-exec-1] o.t.s.e.SPELVariableExpressionEvaluator  : [THYMELEAF][http-nio-8383-exec-1] SpringEL expression: evaluating expression "c" on target
2026-07-01T16:51:15.921-03:00 TRACE 20444 --- [estoque] [http-nio-8383-exec-1] o.t.s.expression.VariableExpression      : [THYMELEAF][http-nio-8383-exec-1] Evaluating variable expression: "${c}"
2026-07-01T16:51:15.921-03:00 TRACE 20444 --- [estoque] [http-nio-8383-exec-1] o.t.s.e.SPELVariableExpressionEvaluator  : [THYMELEAF][http-nio-8383-exec-1] SpringEL expression: evaluating expression "c" on target
2026-07-01T16:51:15.921-03:00 TRACE 20444 --- [estoque] [http-nio-8383-exec-1] o.t.s.expression.VariableExpression      : [THYMELEAF][http-nio-8383-exec-1] Evaluating variable expression: "${param.cliente == c}"
2026-07-01T16:51:15.921-03:00 TRACE 20444 --- [estoque] [http-nio-8383-exec-1] o.t.s.e.SPELVariableExpressionEvaluator  : [THYMELEAF][http-nio-8383-exec-1] SpringEL expression: evaluating expression "param.cliente == c" on target
2026-07-01T16:51:15.922-03:00 TRACE 20444 --- [estoque] [http-nio-8383-exec-1] o.t.s.expression.VariableExpression      : [THYMELEAF][http-nio-8383-exec-1] Evaluating variable expression: "${c}"
2026-07-01T16:51:15.922-03:00 TRACE 20444 --- [estoque] [http-nio-8383-exec-1] o.t.s.e.SPELVariableExpressionEvaluator  : [THYMELEAF][http-nio-8383-exec-1] SpringEL expression: evaluating expression "c" on target
2026-07-01T16:51:15.922-03:00 TRACE 20444 --- [estoque] [http-nio-8383-exec-1] o.t.s.expression.VariableExpression      : [THYMELEAF][http-nio-8383-exec-1] Evaluating variable expression: "${c}"
2026-07-01T16:51:15.922-03:00 TRACE 20444 --- [estoque] [http-nio-8383-exec-1] o.t.s.e.SPELVariableExpressionEvaluator  : [THYMELEAF][http-nio-8383-exec-1] SpringEL expression: evaluating expression "c" on target
2026-07-01T16:51:15.922-03:00 TRACE 20444 --- [estoque] [http-nio-8383-exec-1] o.t.s.expression.VariableExpression      : [THYMELEAF][http-nio-8383-exec-1] Evaluating variable expression: "${param.cliente == c}"
2026-07-01T16:51:15.922-03:00 TRACE 20444 --- [estoque] [http-nio-8383-exec-1] o.t.s.e.SPELVariableExpressionEvaluator  : [THYMELEAF][http-nio-8383-exec-1] SpringEL expression: evaluating expression "param.cliente == c" on target
2026-07-01T16:51:15.922-03:00 TRACE 20444 --- [estoque] [http-nio-8383-exec-1] o.t.s.expression.VariableExpression      : [THYMELEAF][http-nio-8383-exec-1] Evaluating variable expression: "${c}"
